annual_healthcare_expenditure_per_capita,gdp_per_capita_worldbank,nurses_and_midwives_per_1000_people,physicians_per_1000_people,prevalence_of_undernourishment,share_of_population_urban,share_without_improved_water,vaccination_coverage_who_unicef,years_of_schooling,world_regions_wb,world_income_group,Entity
4435.1206,51601.14,8.307,2.814,2.5,83.143,0.0,94.0,13.16,Europe and Central Asia (WB),High-income countries,United Kingdom
4598.772,52071.27,8.538,2.834,2.5,83.398,0.0,94.0,13.256666,Europe and Central Asia (WB),High-income countries,United Kingdom
8411.429,61958.723,11.03,,2.5,81.299,0.7351074,94.0,13.21,North America (WB),High-income countries,United States
8796.183,63018.805,11.1,,2.5,81.483,0.6523514,95.0,13.25,North America (WB),High-income countries,United States
9200.858,64359.473,11.22,,2.5,81.671,0.5706711,95.0,13.28,North America (WB),High-income countries,United States
9536.206,65017.656,11.53,,2.5,81.862,0.49010468,95.0,13.38,North America (WB),High-income countries,United States
9822.379,66155.555,14.37,,2.5,82.058,0.4106598,94.0,13.45487,North America (WB),High-income countries,United States
10182.256,67719.766,15.45,2.57,2.5,82.256,0.33241272,94.0,13.53,North America (WB),High-income countries,United States
1709.5056,28119.482,,,2.5,94.843,0.5997696,95.0,8.74,Latin America and Caribbean (WB),High-income countries,Uruguay
1785.4149,28935.098,,,2.5,94.945,0.46352386,95.0,8.85,Latin America and Caribbean (WB),High-income countries,Uruguay
1845.0309,28941.629,,,2.5,95.045,0.33049774,95.0,8.91,Latin America and Caribbean (WB),High-income countries,Uruguay
1973.8561,29332.566,,3.968,2.5,95.144,0.20057678,95.0,8.97,Latin America and Caribbean (WB),High-income countries,Uruguay
2058.7637,29762.434,,4.961,2.5,95.24,0.07373047,93.0,9.09,Latin America and Caribbean (WB),High-income countries,Uruguay
2156.6958,29757.94,10.06,,2.5,95.334,0.0,91.0,9.17,Latin America and Caribbean (WB),High-income countries,Uruguay
,,,,2.5,88.133,4.5975266,82.0,9.71,Latin America and Caribbean (WB),Upper-middle-income countries,Venezuela
,,,,3.8,88.144,4.775505,78.0,9.84,Latin America and Caribbean (WB),High-income countries,Venezuela
,,,,11.1,88.154,4.953491,87.0,9.97,Latin America and Caribbean (WB),Upper-middle-income countries,Venezuela
,,,,17.2,88.165,5.1314774,84.0,10.6,Latin America and Caribbean (WB),Upper-middle-income countries,Venezuela
,,1.934,1.664,23.4,88.183,5.3094635,66.0,10.421252,Latin America and Caribbean (WB),Upper-middle-income countries,Venezuela
,,2.001,,23.2,88.208,5.4874496,60.0,10.242504,Latin America and Caribbean (WB),Upper-middle-income countries,Venezuela
